  ;US_ID;Description;Acceptance Criterias;Priority;Point;Assign;Test Type;;;;;;;;;;;;;;;;;;
;;;"/api/pricePlan/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ve dogru data (id) iceren bir GET request gönderildiginde dönen status code'in 401 ve response body'deki message bilgisinin ""Unauthenticated."" oldugu dogrulanmali.";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;US_013;Bir yönetici olarak API baðlantýsý üzerinden yeni bir course price plan kaydý olusturabilmek istiyorum.;"/api/addPricePlan endpoint'ine gecerli authorization bilgileri ve dogru datalar (title, dateRange, discount, capacity, webinar_id) iceren bir POST body gönderildiginde dönen status code'in 200, response body'deki remark bilgisinin ""success"" ve Message bilgisinin de ""Successfully Added."" oldugu dogrulanmali.";High;;;Backend (API);;;;;;;;;;;;;;;;;;
;;;"/api/addPricePlan endpoint'ine gecerli authorization bilgileri ve data icermeyen bir POST request gönderildiginde dönen status code'in 422 oldugu ve response body'deki message bilgisinin ""The title field is required. (and 3 more errors)"" oldugu dogrulanmali";;;;;;;;;;;;;;;;;;;;;;
;;;"/api/addPricePlan endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru datalar (title, dateRange, discount, capacity, webinar_id) iceren bir POST body gönderildiginde dönen status code'in 401 oldugu ve response body'deki message bilgisinin ""Unauthenticated."" oldugu dogrulanmali";;;;;;;;;;;;;;;;;;;;;;
;;;"API uzerinden olusturulmak istenen yeni course price plan kaydinin olustugu API uzerinden dogrulanmali. 
(Response bodyde dönen Added Price Plans ID ile /api/pricePlan/{id} endpoint'ine GET request gönderilerek kayýt oluþturulduðu doðrulanabilir.)";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;US_014;Bir yönetici olarak API baglantisi üzerinden belirtilen id numarasýna sahip course price plan'in bilgilerini güncelleyebilmek istiyorum.;"/api/updatePricePlan/{id} endpoint'ine gecerli authorization bilgileri ile dogru (id) ve dogru datalar (title, dateRange, discount, capacity, webinar_id) iceren bir PATCH body gönderildiginde dönen status code'in 200, response body'deki remark bilgisinin ""success"" ve Message bilgisinin de ""Successfully Updated."" oldugu dogrulanmali.";High;;;Backend (API);;;;;;;;;;;;;;;;;;
;;;"/api/updatePricePlan/{id} endpoint'ine gecerli authorization bilgileri ile dogru (id) ve data icermeyen bir PATCH request gönderildiginde dönen status code'in 203, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""There is no information to update."" oldugu dogrulanmali.";;;;;;;;;;;;;;;;;;;;;;
;;;"/api/updatePricePlan/{id} endpoint'ine gecerli authorization bilgileri ile kaydý olmayan bir (id) ve dogru datalar (title, dateRange, discount, capacity, webinar_id) iceren bir PATCH body gönderildiginde dönen status code'in 203, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""There is not ticket for this id."" oldugu, (id) icermeyen ve dogru datalar (title, dateRange, discount, capacity, webinar_id) iceren bir PATCH body gönderildiginde de dönen status code'in 203, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""No id"" oldugu dogrulanmali.";;;;;;;;;;;;;;;;;;;;;;
;;;"/api/updatePricePlan/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ile dogru (id) ve dogru datalar (title, dateRange, discount, capacity, webinar_id) iceren bir PATCH body gönderildiginde dönen status code'in 401 oldugu ve response body'deki message bilgisinin ""Unauthenticated."" oldugu dogrulanmali";;;;;;;;;;;;;;;;;;;;;;
;;;/api/updatePricePlan/{id} endpoint'inden donen response body icindeki Updated Price Plans ID bilgisinin /api/updatePricePlan/{id} endpoint'inde yazan id path parametresi ile ayni oldugu dogrulanmali.;;;;;;;;;;;;;;;;;;;;;;
;;;"API uzerinden güncellenmek istenen course price plan kaydinin güncellendigi, API uzerinden dogrulanmali.
(Response body'de dönen Updated Price Plans ID ile /api/pricePlan/{id} endpoint'ine GET request gönderilerek kaydýn güncellendiði doðrulanabilir.)";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
